stockCode,stockName,officialIndustry,fineIndustries,productTags,themeTags,confidence,source,note
3484,崧騰企業,電子零組件業,電子零組件,,,45,officialIndustryOnly,電子零組件業缺少主要產品線索
3715,定穎投資控股,電子零組件業,電子零組件,,,45,officialIndustryOnly,電子零組件業缺少主要產品線索
6538,倉和,電子零組件業,電子零組件,,,45,officialIndustryOnly,電子零組件業缺少主要產品線索
6584,南俊國際,電子零組件業,電子零組件,,,45,officialIndustryOnly,電子零組件業缺少主要產品線索
6664,群翊工業,電子零組件業,電子零組件,,,45,officialIndustryOnly,電子零組件業缺少主要產品線索
8042,臺灣金山電子工業,電子零組件業,電子零組件,,,45,officialIndustryOnly,電子零組件業缺少主要產品線索
8074,鉅橡企業,電子零組件業,電子零組件,,,45,officialIndustryOnly,電子零組件業缺少主要產品線索
1338,廣華控股,汽車工業,汽車零組件,,,45,officialIndustryOnly,目前僅依官方產業保守分類
1536,和大工業,汽車工業,汽車零組件,,,45,officialIndustryOnly,目前僅依官方產業保守分類
2201,裕隆汽車製造,汽車工業,汽車零組件,,,45,officialIndustryOnly,目前僅依官方產業保守分類
2228,劍麟,汽車工業,汽車零組件,,,45,officialIndustryOnly,目前僅依官方產業保守分類
3303,岱稜科技,其他電子業,其他電子,,,45,officialIndustryOnly,目前僅依官方產業保守分類
3305,昇貿科技,其他電子業,其他電子,,,45,officialIndustryOnly,目前僅依官方產業保守分類
3346,麗清科技,汽車工業,汽車零組件,,,45,officialIndustryOnly,目前僅依官方產業保守分類
3518,柏騰科技,其他電子業,其他電子,,,45,officialIndustryOnly,目前僅依官方產業保守分類
3587,閎康科技,其他電子業,其他電子,,,45,officialIndustryOnly,目前僅依官方產業保守分類
3617,碩天科技,其他電子業,其他電子,,,45,officialIndustryOnly,目前僅依官方產業保守分類
3717,聯嘉光電投資控股,汽車工業,汽車零組件,,,45,officialIndustryOnly,目前僅依官方產業保守分類
6830,汎銓科技,其他電子業,其他電子,,,45,officialIndustryOnly,目前僅依官方產業保守分類
6840,東研信超,其他電子業,其他電子,,,45,officialIndustryOnly,目前僅依官方產業保守分類
8431,匯鑽科技,其他電子業,其他電子,,,45,officialIndustryOnly,目前僅依官方產業保守分類
8433,弘帆,居家生活,居家生活,,,45,officialIndustryOnly,目前僅依官方產業保守分類
1256,鮮活控股,食品工業,食品,,,50,officialIndustryOnly,目前僅依官方產業保守分類
1466,聚隆纖維,紡織纖維,紡織,,,50,officialIndustryOnly,目前僅依官方產業保守分類
1472,三洋實業,建材營造,營建,,,50,officialIndustryOnly,目前僅依官方產業保守分類
1526,日馳企業,電機機械,電機機械,,,50,officialIndustryOnly,目前僅依官方產業保守分類
1586,和勤精機,電機機械,電機機械,,,50,officialIndustryOnly,目前僅依官方產業保守分類
1595,川寶科技,半導體業,半導體,,,50,officialIndustryOnly,目前僅依官方產業保守分類
1781,合世生醫科技,生技醫療業,生技醫療,,,50,officialIndustryOnly,目前僅依官方產業保守分類
2034,允強實業,鋼鐵工業,鋼鐵,,,50,officialIndustryOnly,目前僅依官方產業保守分類
2066,世德工業,電機機械,電機機械,,,50,officialIndustryOnly,目前僅依官方產業保守分類
2104,國際中橡投資控股,橡膠工業,橡膠,,,50,officialIndustryOnly,目前僅依官方產業保守分類
2338,台灣光罩,半導體業,半導體,,,50,officialIndustryOnly,目前僅依官方產業保守分類
2351,順德工業,半導體業,半導體,,,50,officialIndustryOnly,目前僅依官方產業保守分類
2374,佳能企業,光電業,光電,,,50,officialIndustryOnly,目前僅依官方產業保守分類
2436,偉詮電子,半導體業,半導體,,,50,officialIndustryOnly,目前僅依官方產業保守分類
2439,美律實業,通信網路業,網通設備,,,50,officialIndustryOnly,目前僅依官方產業保守分類
2455,全新光電科技,通信網路業,網通設備,,,50,officialIndustryOnly,目前僅依官方產業保守分類
2727,王品餐飲,觀光餐旅,觀光餐旅,,,50,officialIndustryOnly,目前僅依官方產業保守分類
2743,山富國際旅行社,觀光餐旅,觀光餐旅,,,50,officialIndustryOnly,目前僅依官方產業保守分類
2745,五福旅行社,觀光餐旅,觀光餐旅,,,50,officialIndustryOnly,目前僅依官方產業保守分類
3016,嘉晶電子,半導體業,半導體,,,50,officialIndustryOnly,目前僅依官方產業保守分類
3033,威健實業,電子通路業,電子通路,,,50,officialIndustryOnly,目前僅依官方產業保守分類
3045,台灣大哥大,通信網路業,網通設備,,,50,officialIndustryOnly,目前僅依官方產業保守分類
3088,艾訊,電腦及週邊設備業,電腦週邊,,,50,officialIndustryOnly,目前僅依官方產業保守分類
3122,笙泉科技,半導體業,半導體,,,50,officialIndustryOnly,目前僅依官方產業保守分類
3128,昇銳智慧科技,光電業,光電,,,50,officialIndustryOnly,目前僅依官方產業保守分類
3141,晶宏半導體,半導體業,半導體,,,50,officialIndustryOnly,目前僅依官方產業保守分類
3167,大量科技,電機機械,電機機械,,,50,officialIndustryOnly,目前僅依官方產業保守分類
3188,鑫龍騰開發,建材營造,營建,,,50,officialIndustryOnly,目前僅依官方產業保守分類
3260,威剛科技,半導體業,半導體,,,50,officialIndustryOnly,目前僅依官方產業保守分類
3362,先進光電科技,光電業,光電,,,50,officialIndustryOnly,目前僅依官方產業保守分類
3416,融程電訊,電腦及週邊設備業,電腦週邊,,,50,officialIndustryOnly,目前僅依官方產業保守分類
3483,力致科技,電腦及週邊設備業,電腦週邊,,,50,officialIndustryOnly,目前僅依官方產業保守分類
3516,亞帝歐光電,光電業,光電,,,50,officialIndustryOnly,目前僅依官方產業保守分類
3543,州巧科技,光電業,光電,,,50,officialIndustryOnly,目前僅依官方產業保守分類
3564,其陽科技,通信網路業,網通設備,,,50,officialIndustryOnly,目前僅依官方產業保守分類
